image_idx,true_label,wrong_label,prediction,is_correct
0,2,1,2,True
1,4,9,9,False
2,3,7,3,True
3,8,0,8,True
4,4,2,4,True
5,6,4,6,True
6,8,1,8,True
7,2,7,2,True
8,2,5,2,True
9,6,7,6,True
10,5,9,5,True
11,8,4,8,True
12,9,2,9,True
13,1,0,1,True
14,1,8,1,True
15,0,4,0,True
16,8,1,8,True
17,1,5,1,True
18,7,6,7,True
19,2,0,2,True
20,4,8,5,False
21,1,8,1,True
22,9,1,9,True
23,1,4,1,True
24,1,9,1,True
25,9,0,9,True
26,7,1,7,True
27,0,2,0,True
28,2,1,2,True
29,3,5,5,False
30,1,8,1,True
31,9,2,9,True
32,7,3,7,True
33,1,7,1,True
34,0,2,0,True
35,2,0,2,True
36,8,7,8,True
37,6,1,6,True
38,9,0,4,False
39,5,2,6,False
40,9,1,9,True
41,6,7,6,True
42,9,0,9,True
43,3,1,3,True
44,9,2,9,True
45,1,3,3,False
46,9,2,9,True
47,3,6,3,True
48,3,8,3,True
49,7,5,7,True
50,7,2,7,True
51,9,1,9,True
52,2,5,2,True
53,3,6,3,True
54,0,3,0,True
55,3,8,3,True
56,5,0,5,True
57,3,6,3,True
58,2,9,2,True
59,8,9,8,True
60,0,4,9,False
61,7,4,7,True
62,2,0,2,True
63,8,2,8,True
64,1,5,1,True
65,9,3,9,True
66,9,0,4,False
67,3,4,3,True
68,2,3,2,True
69,0,5,0,True
70,0,9,0,True
71,1,3,1,True
72,6,0,0,False
73,3,8,3,True
74,7,2,7,True
75,3,2,3,True
76,8,3,8,True
77,7,6,7,True
78,6,3,6,True
79,2,6,2,True
80,3,6,3,True
81,2,4,2,True
82,2,7,2,True
83,4,1,4,True
84,2,7,2,True
85,6,2,6,True
86,7,6,7,True
87,6,7,6,True
88,3,9,3,True
89,5,3,5,True
90,7,2,7,True
91,3,9,3,True
92,0,4,0,True
93,0,3,0,True
94,8,3,3,False
95,2,9,2,True
96,7,0,7,True
97,5,2,8,False
98,9,7,7,False
99,3,7,3,True
100,0,8,0,True
101,9,2,9,True
102,3,5,3,True
103,0,7,0,True
104,2,1,2,True
105,2,8,2,True
106,8,5,5,False
107,3,0,3,True
