image_idx,true_label,prediction,is_correct
0,6,6,True
1,2,3,False
2,4,6,False
3,3,5,False
4,0,0,True
5,3,2,False
6,8,3,False
7,7,7,True
8,8,0,False
9,2,2,True
10,3,3,True
11,1,1,True
12,9,9,True
13,7,7,True
14,4,4,True
15,4,4,True
16,3,3,True
17,0,0,True
18,2,2,True
19,7,7,True
20,9,4,False
21,0,0,True
22,0,0,True
23,1,1,True
24,6,6,True
25,1,1,True
26,9,4,False
27,4,4,True
28,3,5,False
29,6,6,True
30,1,1,True
31,3,3,True
32,6,6,True
33,0,0,True
34,2,3,False
35,9,9,True
36,1,1,True
37,1,1,True
38,8,5,False
39,3,3,True
40,1,7,False
41,0,0,True
42,3,3,True
43,5,5,True
44,8,3,False
45,0,5,False
46,9,9,True
47,4,3,False
48,9,9,True
49,2,2,True
50,6,6,True
51,2,2,True
52,1,1,True
53,9,4,False
54,7,7,True
55,4,4,True
56,3,3,True
57,9,7,False
58,7,7,True
59,1,1,True
60,4,9,False
61,9,7,False
62,5,6,False
63,6,2,False
64,7,7,True
65,0,3,False
66,1,1,True
67,1,1,True
68,2,3,False
69,6,6,True
70,6,6,True
71,3,3,True
72,8,0,False
73,6,6,True
74,0,6,False
75,2,2,True
76,8,4,False
77,2,2,True
78,6,6,True
79,6,6,True
80,4,4,True
81,8,3,False
82,8,7,False
83,8,8,True
84,4,4,True
85,4,4,True
86,0,0,True
87,4,4,True
88,9,7,False
89,9,9,True
90,4,4,True
91,6,2,False
92,5,5,True
93,8,5,False
94,8,5,False
95,7,7,True
96,3,7,False
97,0,0,True
98,7,9,False
99,0,9,False
100,3,5,False
101,6,6,True
102,3,3,True
103,0,0,True
104,2,5,False
105,4,4,True
106,4,9,False
107,2,2,True
108,7,7,True
109,3,3,True
110,4,4,True
111,7,7,True
112,6,6,True
113,1,1,True
114,2,2,True
115,3,2,False
116,6,2,False
117,7,4,False
118,3,3,True
119,5,5,True
120,6,6,True
121,2,2,True
122,7,1,False
123,3,5,False
124,8,8,True
125,0,0,True
126,1,1,True
127,0,0,True
128,6,0,False
129,8,6,False
130,3,3,True
131,7,9,False
132,8,7,False
133,1,1,True
134,0,0,True
135,4,3,False
136,1,1,True
137,2,2,True
138,5,7,False
139,7,7,True
140,1,1,True
141,0,0,True
142,9,5,False
143,6,6,True
144,6,6,True
145,1,1,True
146,1,1,True
147,4,9,False
148,2,3,False
149,3,2,False
150,0,0,True
151,1,1,True
152,3,3,True
153,7,7,True
154,0,0,True
155,6,6,True
156,4,8,False
157,4,4,True
158,2,2,True
159,7,7,True
160,5,8,False
161,4,4,True
162,8,8,True
163,5,6,False
164,8,3,False
165,2,4,False
166,7,7,True
167,0,0,True
168,5,5,True
169,0,0,True
170,9,7,False
171,9,9,True
172,8,8,True
173,6,6,True
174,2,2,True
175,5,5,True
176,0,7,False
177,0,0,True
178,6,1,False
179,6,4,False
180,8,8,True
181,1,1,True
182,5,5,True
183,1,1,True
184,0,5,False
185,2,7,False
186,7,9,False
187,8,0,False
188,9,9,True
189,5,5,True
190,8,8,True
191,3,1,False
192,9,9,True
193,9,8,False
194,2,2,True
195,5,9,False
196,8,3,False
197,3,3,True
198,3,3,True
199,0,0,True
200,0,0,True
201,0,0,True
202,0,0,True
203,0,0,True
204,9,8,False
205,0,0,True
206,8,8,True
207,1,1,True
208,8,0,False
209,9,8,False
210,1,1,True
211,1,1,True
212,4,4,True
213,1,1,True
214,4,4,True
215,8,4,False
216,1,1,True
217,3,3,True
218,8,8,True
219,6,6,True
220,6,0,False
221,2,2,True
222,6,2,False
223,2,2,True
224,6,6,True
225,2,2,True
226,9,9,True
227,4,4,True
228,6,6,True
229,2,2,True
230,9,9,True
231,3,3,True
232,1,1,True
233,2,3,False
234,7,7,True
235,8,8,True
236,0,2,False
237,9,7,False
238,1,1,True
239,8,5,False
240,2,8,False
241,2,2,True
242,9,9,True
243,7,9,False
244,6,5,False
245,9,7,False
246,6,6,True
247,1,1,True
248,1,1,True
249,3,3,True
250,3,3,True
251,1,1,True
252,2,2,True
253,8,5,False
254,8,3,False
255,8,8,True
256,9,4,False
257,1,1,True
258,0,0,True
259,4,4,True
260,4,2,False
261,2,2,True
262,6,3,False
263,8,5,False
264,0,0,True
265,3,3,True
266,3,2,False
267,6,6,True
268,9,7,False
269,3,8,False
270,3,3,True
271,0,0,True
272,2,2,True
273,0,0,True
274,7,8,False
275,5,3,False
276,4,4,True
277,1,1,True
278,4,4,True
279,0,0,True
280,1,1,True
281,1,1,True
282,1,3,False
283,7,3,False
284,8,8,True
285,3,3,True
286,5,5,True
287,1,1,True
288,5,6,False
289,1,1,True
290,5,8,False
291,1,1,True
292,8,4,False
293,4,9,False
294,8,7,False
295,6,4,False
296,3,3,True
297,5,4,False
298,9,4,False
299,9,9,True
300,4,4,True
301,6,6,True
302,1,1,True
303,3,0,False
304,5,3,False
305,0,0,True
306,8,4,False
307,9,9,True
308,1,1,True
309,6,6,True
310,3,3,True
311,7,7,True
312,0,0,True
313,4,9,False
314,8,0,False
315,7,7,True
316,4,4,True
317,5,5,True
318,4,4,True
319,6,6,True
320,0,9,False
321,9,9,True
322,2,2,True
323,0,3,False
324,5,6,False
325,5,9,False
326,3,0,False
327,1,1,True
328,9,7,False
329,4,3,False
330,1,1,True
331,7,1,False
332,4,4,True
333,4,4,True
334,1,1,True
335,2,2,True
336,3,5,False
337,1,1,True
338,0,6,False
339,6,4,False
340,8,9,False
341,5,5,True
342,3,2,False
343,7,7,True
344,0,0,True
345,5,5,True
346,5,5,True
347,9,0,False
348,7,9,False
349,0,0,True
350,9,0,False
351,2,9,False
352,7,7,True
353,0,5,False
354,1,1,True
355,9,9,True
356,2,2,True
357,2,2,True
358,1,1,True
359,1,1,True
360,5,5,True
361,8,1,False
362,9,4,False
363,5,5,True
364,7,2,False
365,3,3,True
366,6,6,True
367,7,7,True
368,4,4,True
369,3,3,True
370,7,7,True
371,3,3,True
372,9,7,False
373,1,1,True
374,4,9,False
375,8,5,False
376,5,9,False
377,1,1,True
378,6,6,True
379,4,4,True
380,0,8,False
381,5,0,False
382,8,8,True
383,3,5,False
384,0,0,True
385,3,2,False
386,8,2,False
387,9,9,True
388,7,7,True
389,6,6,True
390,7,7,True
391,0,0,True
392,0,0,True
393,4,4,True
394,8,4,False
395,0,5,False
396,7,8,False
397,8,7,False
398,5,7,False
399,7,9,False
400,1,1,True
401,6,0,False
402,5,5,True
403,0,0,True
404,5,5,True
405,0,6,False
406,6,6,True
407,8,5,False
408,5,5,True
409,3,3,True
410,3,3,True
411,0,0,True
412,9,4,False
413,1,1,True
414,4,4,True
415,2,7,False
416,3,5,False
417,3,3,True
418,7,7,True
419,2,2,True
420,3,3,True
421,9,2,False
422,4,4,True
423,8,8,True
424,1,1,True
425,1,1,True
426,3,3,True
427,4,6,False
428,2,2,True
429,6,4,False
430,9,9,True
431,6,4,False
432,9,4,False
433,2,2,True
434,8,8,True
435,6,2,False
436,6,6,True
437,0,0,True
438,3,8,False
439,2,2,True
440,1,1,True
441,2,5,False
442,2,2,True
443,8,1,False
444,2,2,True
445,6,9,False
446,9,7,False
447,8,8,True
448,9,9,True
449,6,0,False
450,6,6,True
451,8,2,False
452,5,5,True
453,3,3,True
454,0,0,True
455,7,7,True
456,8,1,False
457,1,1,True
458,0,0,True
459,0,0,True
460,0,5,False
461,0,2,False
462,7,7,True
463,3,3,True
464,4,4,True
465,5,5,True
466,4,4,True
467,5,5,True
468,0,0,True
469,0,0,True
470,2,2,True
471,0,7,False
472,0,0,True
473,1,1,True
474,8,8,True
475,5,5,True
476,0,0,True
477,3,3,True
478,0,0,True
479,6,0,False
480,9,4,False
481,1,1,True
482,8,1,False
483,1,1,True
484,4,7,False
485,2,2,True
486,3,3,True
487,1,1,True
488,0,0,True
489,6,6,True
490,2,2,True
491,4,1,False
492,8,2,False
493,7,7,True
494,6,6,True
495,2,2,True
496,0,3,False
497,3,3,True
498,5,8,False
499,4,5,False
500,2,2,True
501,9,9,True
502,8,0,False
503,7,7,True
504,1,1,True
505,7,7,True
506,5,6,False
507,2,0,False
508,9,7,False
509,3,5,False
510,8,7,False
511,0,3,False
512,5,6,False
513,2,2,True
514,1,1,True
515,0,0,True
516,7,7,True
517,0,0,True
518,6,6,True
519,9,9,True
520,3,3,True
521,0,0,True
522,1,1,True
523,2,6,False
524,6,3,False
525,3,9,False
526,9,7,False
527,6,6,True
528,0,0,True
529,0,0,True
530,0,0,True
531,2,4,False
532,5,5,True
533,1,1,True
534,4,7,False
535,4,4,True
536,1,1,True
537,9,9,True
538,2,2,True
539,9,9,True
540,9,4,False
541,8,0,False
542,3,1,False
543,0,0,True
544,5,5,True
545,3,8,False
546,4,4,True
547,2,1,False
548,9,7,False
549,5,0,False
550,3,3,True
551,7,2,False
552,6,6,True
553,7,7,True
554,3,5,False
555,1,1,True
556,1,1,True
557,7,7,True
558,5,2,False
559,1,1,True
