image_idx,true_label,wrong_label,prediction,is_correct
0,2,8,2,True
1,4,5,5,False
2,8,5,5,False
3,6,2,6,True
4,6,3,6,True
5,1,4,1,True
6,6,2,2,False
7,4,6,6,False
8,2,8,2,True
9,8,4,2,False
10,1,7,1,True
11,4,8,4,True
12,0,7,0,True
13,2,3,2,True
14,7,2,7,True
15,9,4,9,True
16,2,1,2,True
17,7,5,7,True
18,0,2,2,False
19,2,9,2,True
20,4,5,4,True
21,6,3,6,True
22,4,1,4,True
23,7,4,9,False
24,8,6,8,True
25,6,1,6,True
26,9,5,4,False
27,6,4,6,True
28,6,1,6,True
29,4,2,4,True
30,4,6,4,True
31,5,8,5,True
32,1,8,1,True
33,4,8,4,True
34,9,2,4,False
35,0,2,0,True
36,0,6,0,True
37,4,7,4,True
38,3,4,3,True
39,5,0,5,True
40,6,0,6,True
41,9,0,7,False
42,0,6,0,True
43,3,1,3,True
44,6,7,6,True
45,8,5,8,True
46,0,2,0,True
47,8,1,8,True
48,2,9,2,True
49,4,0,4,True
50,7,2,7,True
51,6,9,6,True
52,4,0,4,True
53,8,2,8,True
54,1,5,1,True
55,3,9,3,True
56,6,2,6,True
57,9,3,9,True
58,5,4,5,True
59,3,5,3,True
60,5,7,5,True
61,4,6,6,False
62,5,4,5,True
63,4,5,4,True
64,8,5,5,False
65,8,1,8,True
66,2,9,2,True
67,9,1,9,True
68,2,8,2,True
69,2,7,2,True
70,1,2,1,True
71,6,0,6,True
72,8,6,8,True
73,8,0,8,True
74,4,0,4,True
75,9,4,9,True
76,0,2,0,True
77,7,3,7,True
78,9,5,9,True
79,9,1,9,True
80,6,0,6,True
81,0,8,0,True
82,5,0,5,True
83,6,3,6,True
84,2,7,2,True
85,5,1,5,True
86,9,0,9,True
87,1,7,1,True
88,0,2,0,True
89,1,3,1,True
90,5,1,5,True
91,0,7,0,True
92,2,3,2,True
93,1,5,1,True
94,2,4,2,True
95,9,4,4,False
96,9,4,9,True
97,8,5,8,True
98,8,6,8,True
99,0,9,0,True
100,8,0,5,False
101,1,6,1,True
102,7,3,7,True
103,9,5,9,True
104,3,4,3,True
105,7,9,7,True
106,2,4,2,True
107,5,4,5,True
108,1,8,1,True
109,9,6,9,True
110,1,2,1,True
111,2,3,2,True
112,7,9,7,True
113,5,2,5,True
114,7,1,7,True
115,8,9,8,True
116,7,0,7,True
117,5,3,5,True
118,2,0,2,True
119,5,2,5,True
120,9,4,9,True
121,0,6,0,True
122,1,8,1,True
123,1,5,1,True
124,6,8,6,True
125,4,8,4,True
126,2,0,2,True
127,1,9,1,True
128,2,7,2,True
129,5,1,5,True
130,5,6,5,True
131,6,2,6,True
132,4,9,9,False
133,7,9,7,True
134,7,0,7,True
135,5,0,5,True
136,3,0,3,True
137,3,1,3,True
138,6,3,6,True
139,8,5,5,False
140,7,3,7,True
141,1,8,1,True
142,2,0,2,True
143,4,8,4,True
144,4,9,4,True
145,8,0,8,True
146,3,4,3,True
147,8,7,8,True
148,8,3,8,True
149,6,3,6,True
150,5,8,5,True
151,5,7,5,True
152,1,2,1,True
153,9,1,9,True
154,8,4,8,True
155,0,8,0,True
156,4,0,4,True
157,1,2,1,True
158,5,6,6,False
159,4,2,4,True
160,6,5,6,True
161,3,4,2,False
162,1,0,1,True
163,7,1,7,True
164,8,7,8,True
165,2,4,2,True
166,6,8,6,True
167,0,5,0,True
168,4,3,4,True
169,9,5,9,True
170,1,3,1,True
171,8,6,6,False
172,4,5,4,True
173,4,3,4,True
174,3,4,3,True
175,6,9,6,True
176,7,3,3,False
177,6,9,6,True
178,2,9,2,True
179,4,9,9,False
180,8,4,5,False
181,7,3,7,True
182,6,2,6,True
183,9,0,9,True
184,7,3,7,True
185,2,5,2,True
186,6,1,6,True
187,2,3,2,True
188,1,3,1,True
189,7,6,7,True
190,8,3,8,True
191,7,3,3,False
192,8,9,8,True
193,9,7,7,False
194,6,0,6,True
195,3,2,3,True
196,8,2,2,False
197,7,4,7,True
198,2,6,2,True
199,1,5,1,True
200,1,7,1,True
201,8,0,8,True
202,1,4,1,True
203,9,8,4,False
204,9,5,9,True
205,5,7,5,True
206,3,1,3,True
207,7,2,7,True
208,1,8,1,True
209,2,5,2,True
210,3,4,3,True
211,6,8,6,True
212,3,4,3,True
213,2,0,2,True
214,5,6,6,False
215,8,7,6,False
216,2,7,6,False
217,4,9,4,True
218,6,3,6,True
219,1,3,1,True
220,3,0,3,True
221,1,8,1,True
222,2,9,2,True
223,0,8,0,True
224,7,1,7,True
225,2,0,2,True
226,8,3,3,False
227,8,3,5,False
228,6,4,6,True
229,3,5,3,True
230,2,4,2,True
231,6,2,6,True
232,3,9,3,True
233,5,8,5,True
234,4,3,4,True
235,5,3,3,False
236,9,6,9,True
237,1,8,1,True
238,0,2,0,True
239,0,4,6,False
240,9,7,9,True
241,6,5,6,True
242,4,2,4,True
243,3,7,3,True
244,2,9,2,True
245,6,0,6,True
246,4,6,6,False
247,9,8,9,True
248,1,8,1,True
249,3,4,3,True
250,1,0,1,True
251,2,8,2,True
252,3,2,3,True
253,5,3,5,True
254,7,4,7,True
255,6,8,6,True
256,0,5,0,True
