image_idx,true_label,prediction,is_correct
0,8,8,True
1,7,7,True
2,3,7,False
3,0,6,False
4,1,1,True
5,2,6,False
6,2,2,True
7,6,6,True
8,8,6,False
9,9,9,True
10,0,0,True
11,2,3,False
12,2,2,True
13,5,5,True
14,5,3,False
15,2,2,True
16,4,4,True
17,3,5,False
18,5,5,True
19,3,3,True
20,7,2,False
21,0,0,True
22,9,9,True
23,1,1,True
24,8,2,False
25,1,1,True
26,9,0,False
27,9,4,False
28,8,1,False
29,8,3,False
30,8,6,False
31,9,9,True
32,8,1,False
33,7,7,True
34,7,9,False
35,4,4,True
36,0,0,True
37,3,2,False
38,4,4,True
39,7,7,True
40,3,3,True
41,5,5,True
42,6,7,False
43,7,7,True
44,1,1,True
45,1,1,True
46,1,1,True
47,8,8,True
48,7,7,True
49,2,2,True
50,6,6,True
51,1,1,True
52,2,2,True
53,6,6,True
54,8,8,True
55,4,4,True
56,4,4,True
57,7,7,True
58,5,5,True
59,1,1,True
60,2,2,True
61,0,0,True
62,4,4,True
63,8,1,False
64,4,9,False
65,4,4,True
66,1,4,False
67,7,7,True
68,6,4,False
69,9,7,False
70,3,3,True
71,4,4,True
72,5,5,True
73,7,7,True
74,8,3,False
75,4,4,True
76,3,3,True
77,4,8,False
78,4,4,True
79,0,0,True
80,7,7,True
81,3,0,False
82,0,0,True
83,5,5,True
84,9,9,True
85,3,6,False
86,5,5,True
87,9,9,True
88,5,3,False
89,1,3,False
90,3,3,True
91,7,7,True
92,3,3,True
93,6,5,False
94,7,7,True
95,9,1,False
96,3,3,True
97,4,4,True
98,2,5,False
99,8,3,False
